host_numcpu: 12
host_gomaxprocs: 12
host_goversion: go1.26.4
host_totalmem: 16.00 GB
host_timestamp: 2026-06-23T06:12:00Z
PASS
ok  	github.com/jokruger/kavun-benchmark/bench	0.466s
goos: darwin
goarch: amd64
pkg: github.com/jokruger/kavun-benchmark/bench/goja
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkGoja/fib-12         	      33	  36556555 ns/op	    8152 B/op	     392 allocs/op
BenchmarkGoja/fib-12         	      33	  33269716 ns/op	    8152 B/op	     392 allocs/op
BenchmarkGoja/fib-12         	      32	  33528310 ns/op	    8152 B/op	     392 allocs/op
BenchmarkGoja/fib-12         	      34	  33072461 ns/op	    8152 B/op	     392 allocs/op
BenchmarkGoja/fib-12         	      33	  33153413 ns/op	    8152 B/op	     392 allocs/op
BenchmarkGoja/fib_tail-12    	  188029	      5452 ns/op	    5200 B/op	      23 allocs/op
BenchmarkGoja/fib_tail-12    	  209074	      5667 ns/op	    5200 B/op	      23 allocs/op
BenchmarkGoja/fib_tail-12    	  194308	      5708 ns/op	    5200 B/op	      23 allocs/op
BenchmarkGoja/fib_tail-12    	  204423	      5467 ns/op	    5200 B/op	      23 allocs/op
BenchmarkGoja/fib_tail-12    	  207216	      5480 ns/op	    5200 B/op	      23 allocs/op
BenchmarkGoja/loop_sum-12    	     279	   4205144 ns/op	 1117997 B/op	   39729 allocs/op
BenchmarkGoja/loop_sum-12    	     279	   4269942 ns/op	 1117997 B/op	   39729 allocs/op
BenchmarkGoja/loop_sum-12    	     279	   4220606 ns/op	 1117997 B/op	   39729 allocs/op
BenchmarkGoja/loop_sum-12    	     280	   4195362 ns/op	 1117999 B/op	   39729 allocs/op
BenchmarkGoja/loop_sum-12    	     280	   4193836 ns/op	 1117996 B/op	   39729 allocs/op
BenchmarkGoja/sum_pow-12     	     229	   5118580 ns/op	 1197869 B/op	   49723 allocs/op
BenchmarkGoja/sum_pow-12     	     232	   5116429 ns/op	 1197869 B/op	   49723 allocs/op
BenchmarkGoja/sum_pow-12     	     231	   5084648 ns/op	 1197868 B/op	   49723 allocs/op
